Date,Cpi
2014-09-17,237.477
2014-09-18,237.477
2014-09-19,237.477
2014-09-22,237.477
2014-09-23,237.477
2014-09-24,237.477
2014-09-25,237.477
2014-09-26,237.477
2014-09-29,237.477
2014-09-30,237.477
2014-10-01,237.43
2014-10-02,237.43
2014-10-03,237.43
2014-10-06,237.43
2014-10-07,237.43
2014-10-08,237.43
2014-10-09,237.43
2014-10-10,237.43
2014-10-13,237.43
2014-10-14,237.43
2014-10-15,237.43
2014-10-16,237.43
2014-10-17,237.43
2014-10-20,237.43
2014-10-21,237.43
2014-10-22,237.43
2014-10-23,237.43
2014-10-24,237.43
2014-10-27,237.43
2014-10-28,237.43
2014-10-29,237.43
2014-10-30,237.43
2014-10-31,237.43
2014-11-03,236.983
2014-11-04,236.983
2014-11-05,236.983
2014-11-06,236.983
2014-11-07,236.983
2014-11-10,236.983
2014-11-11,236.983
2014-11-12,236.983
2014-11-13,236.983
2014-11-14,236.983
2014-11-17,236.983
2014-11-18,236.983
2014-11-19,236.983
2014-11-20,236.983
2014-11-21,236.983
2014-11-24,236.983
2014-11-25,236.983
2014-11-26,236.983
2014-11-28,236.983
2014-12-01,236.252
2014-12-02,236.252
2014-12-03,236.252
2014-12-04,236.252
2014-12-05,236.252
2014-12-08,236.252
2014-12-09,236.252
2014-12-10,236.252
2014-12-11,236.252
2014-12-12,236.252
2014-12-15,236.252
2014-12-16,236.252
2014-12-17,236.252
2014-12-18,236.252
2014-12-19,236.252
2014-12-22,236.252
2014-12-23,236.252
2014-12-24,236.252
2014-12-26,236.252
2014-12-29,236.252
2014-12-30,236.252
2014-12-31,236.252
2015-01-02,234.747
2015-01-05,234.747
2015-01-06,234.747
2015-01-07,234.747
2015-01-08,234.747
2015-01-09,234.747
2015-01-12,234.747
2015-01-13,234.747
2015-01-14,234.747
2015-01-15,234.747
2015-01-16,234.747
2015-01-20,234.747
2015-01-21,234.747
2015-01-22,234.747
2015-01-23,234.747
2015-01-26,234.747
2015-01-27,234.747
2015-01-28,234.747
2015-01-29,234.747
2015-01-30,234.747
2015-02-02,235.342
2015-02-03,235.342
2015-02-04,235.342
2015-02-05,235.342
2015-02-06,235.342
2015-02-09,235.342
2015-02-10,235.342
2015-02-11,235.342
2015-02-12,235.342
2015-02-13,235.342
2015-02-17,235.342
2015-02-18,235.342
2015-02-19,235.342
2015-02-20,235.342
2015-02-23,235.342
2015-02-24,235.342
2015-02-25,235.342
2015-02-26,235.342
2015-02-27,235.342
2015-03-02,235.976
2015-03-03,235.976
2015-03-04,235.976
2015-03-05,235.976
2015-03-06,235.976
2015-03-09,235.976
2015-03-10,235.976
2015-03-11,235.976
2015-03-12,235.976
2015-03-13,235.976
2015-03-16,235.976
2015-03-17,235.976
2015-03-18,235.976
2015-03-19,235.976
2015-03-20,235.976
2015-03-23,235.976
